Money Available,Password,Last Name,ID,Cars Purchased,First Name,Username,MinerCars Membership
41237.47,Hn)0pf5q,Granger,1,0,Hermione,hermionegranger,true
22030.05,aNgb9jkE,Bourne,2,2,Jason,jasonbourne,true
45381.68,03#oxBYW,Baggins,3,0,Frodo,frodobaggins,false
41552.72,KVyCOGc*,Smith,4,0,Yoda,yoda,false
31633.09,2Lob0Zfa,America,5,0,Captain,captainamerica,true
22545.97,#A2UjgVh,Holmes,6,0,Sherlock,sherlockholmes,true
48819.72,L8GKCj$A,Miller,7,0,Neo,neo,true
25338.27,3*Gts&4X,Jack Sparrow,8,0,Captain,captainjacksparrow,false
43657.68,3@H$PHpp,Finch,9,0,Atticus,atticusfinch,false
17855.2,YQoQ3LH3,T. Kirk,10,0,James,jamest.kirk,false
45137.8,SucLrbjh,Wilson,11,0,Wolverine,wolverine,false
35888.84,Qa8b!@)k,Williams,12,0,Gandalf,gandalf,false
35258.16,WUa9@NUG,Wick,13,0,John,johnwick,true
22035.25,bmQ@0CrZ,Stark,14,0,Tony,tonystark,true
17044.39,Sma0y*cV,Balboa,15,0,Rocky,rockybalboa,false
24267.18,Fl&^mI*Y,Skywalker,16,0,Luke,lukeskywalker,false
24224.76,1IZgnN1(,Wilson,17,0,Morpheus,morpheus,true
41234.53,ut@zVg$i,Montana,18,0,Tony,tonymontana,true
43288.0,P8A)art(,Miller,19,0,Batman,batman,false
33671.7,SgSj29cv,Bates,20,0,Norman,normanbates,false
27324.29,cstk@z!6,Moore,21,0,E.T.,e.t.,true
26291.92,yCTnezqK,Chan,22,0,Jackie,jackiechan,false
36835.98,eT47a5mQ,Bickle,23,0,Travis,travisbickle,false
46816.13,6EJQon4R,Solo,24,0,Han,hansolo,true
25557.28,1kfbNp2W,Bond,25,0,James,jamesbond,false
27073.63,E6l1WgpH,Lecter,26,0,Hanibal,haniballecter,false
18758.73,z@Uei505,Everdeen,27,0,Katniss,katnisseverdeen,true
20920.25,xEj4#TAs,Moore,28,0,Thor,thor,false
46552.38,OoU6bx29,Smith,29,0,Spider-Man,spider-man,true
46780.98,l$lqW*w0,Corleone,30,0,Michael,michaelcorleone,false
27263.78,okjgX&kI,Ripley,31,0,Ellen,ellenripley,true
15981.21,QV#Tb!9&,Woman,32,0,Wonder,wonderwoman,false
45165.51,mLY9h3aK,Gale,33,0,Dorothy,dorothygale,true
36818.93,McxFb#wZ,Vader,34,0,Darth,darthvader,false
23411.2,KjHw49b0,Potter,35,0,Harry,harrypotter,true
35848.75,Lxt0JrZ%,Blaine,36,0,Rick,rickblaine,false

